lookback,skip,vol_lookback,risk_lookback,rebalance_every,cagr,ann_vol,max_drawdown,sharpe,total_pnl,trade_count,turnover,hit_rate,payoff_ratio,wf_total_windows,wf_mean_oos_sharpe,wf_pct_profitable_windows,wf_oos_return_mean,wf_oos_return_std,classification
189.0,0.0,60.0,25.0,10.0,-0.010269345185157097,0.016114552218591593,0.0841443248305559,-0.6324900527199707,-0.049136496515089764,653,0.14660005365055748,0.40275650842266464,1.1652761730644543,5,-0.35671612717266904,20.0,-0.001666230874579,0.013800772585871323,FRAGILE
189.0,0.0,60.0,30.0,3.0,-0.011042112397242287,0.017074818191332636,0.09746572607401172,-0.6417274417305848,-0.25013537912512335,2375,0.15705400760336585,0.3334736842105263,1.0808478418322363,5,-0.25256839693006833,20.0,0.0007453903856639021,0.021080480995783725,FRAGILE
189.0,0.0,60.0,30.0,5.0,-0.011042112397242287,0.017074818191332636,0.09746572607401172,-0.6417274417305848,-0.15927237483561604,1437,0.15705400760336585,0.3556019485038274,1.10459379261007,5,-0.25256839693006833,20.0,0.0007453903856639021,0.021080480995783725,FRAGILE
189.0,0.0,60.0,30.0,10.0,-0.011042112397242287,0.017074818191332636,0.09746572607401172,-0.6417274417305848,-0.05877447043138984,709,0.15705400760336585,0.4146685472496474,1.075355411972649,5,-0.25256839693006833,20.0,0.0007453903856639021,0.021080480995783725,FRAGILE
189.0,0.0,70.0,10.0,3.0,-0.01713652487564221,0.016241799997957048,0.13272218801845237,-1.0560723533830383,-0.22985752843251925,2297,0.15752229349692823,0.33391380060949066,1.1453007825065302,5,-1.0485833241519813,20.0,-0.011132004693456187,0.020315026679252397,FRAGILE
189.0,0.0,70.0,10.0,5.0,-0.01713652487564221,0.016241799997957048,0.13272218801845237,-1.0560723533830383,nan,1320,0.15752229349692823,0.375,1.1416710571708477,5,-1.0485833241519813,20.0,-0.011132004693456187,0.020315026679252397,FRAGILE
189.0,0.0,70.0,10.0,10.0,-0.01713652487564221,0.016241799997957048,0.13272218801845237,-1.0560723533830383,-0.03122328362133092,644,0.15752229349692823,0.44254658385093165,1.0851340003269976,5,-1.0485833241519813,20.0,-0.011132004693456187,0.020315026679252397,FRAGILE
189.0,0.0,70.0,15.0,3.0,-0.010577944910906134,0.016182895718448755,0.09214932103978124,-0.6490237601932881,-0.19113034700290205,2233,0.15130055740007792,0.33945364979847736,1.2042294101957447,5,-0.31863550447537314,20.0,-0.0007657389876726039,0.01890476380386087,FRAGILE
189.0,0.0,70.0,15.0,5.0,-0.010577944910906134,0.016182895718448755,0.09214932103978124,-0.6490237601932881,-0.07833899253456418,1293,0.15130055740007792,0.3805104408352668,1.243490713691662,5,-0.31863550447537314,20.0,-0.0007657389876726039,0.01890476380386087,FRAGILE
189.0,0.0,70.0,15.0,10.0,-0.010577944910906134,0.016182895718448755,0.09214932103978124,-0.6490237601932881,-0.011511965267951113,651,0.15130055740007792,0.4377880184331797,1.2142887351896463,5,-0.31863550447537314,20.0,-0.0007657389876726039,0.01890476380386087,FRAGILE
189.0,0.0,70.0,20.0,3.0,-0.008965825768626812,0.016274717655468916,0.07976672131341644,-0.5452377118200176,-0.19483129501841934,2235,0.148602793278722,0.3503355704697987,1.1443185930457143,5,-0.23930211666339676,40.0,0.0007773057684675067,0.01477394516891551,FRAGILE
189.0,0.0,70.0,20.0,5.0,-0.008965825768626812,0.016274717655468916,0.07976672131341644,-0.5452377118200176,-0.09413332538363842,1358,0.148602793278722,0.3799705449189985,1.203936027600274,5,-0.23930211666339676,40.0,0.0007773057684675067,0.01477394516891551,FRAGILE
189.0,0.0,70.0,20.0,10.0,-0.008965825768626812,0.016274717655468916,0.07976672131341644,-0.5452377118200176,-0.02248187762398484,673,0.148602793278722,0.43536404160475484,1.1687173930798451,5,-0.23930211666339676,40.0,0.0007773057684675067,0.01477394516891551,FRAGILE
189.0,0.0,70.0,25.0,3.0,-0.009964736032424537,0.016376056790184248,0.08226239429025861,-0.6033404045257273,-0.2328647681154049,2251,0.14877578223070514,0.3380719680142159,1.0991675340466878,5,-0.3161820611100794,20.0,-0.00105371139794026,0.014580891491008332,FRAGILE
189.0,0.0,70.0,25.0,5.0,-0.009964736032424537,0.016376056790184248,0.08226239429025861,-0.6033404045257273,-0.142605692098536,1351,0.14877578223070514,0.3597335307179867,1.1301485266490638,5,-0.3161820611100794,20.0,-0.00105371139794026,0.014580891491008332,FRAGILE
189.0,0.0,70.0,25.0,10.0,-0.009964736032424537,0.016376056790184248,0.08226239429025861,-0.6033404045257273,-0.04577031504285441,652,0.14877578223070514,0.40337423312883436,1.1893960490611868,5,-0.3161820611100794,20.0,-0.00105371139794026,0.014580891491008332,FRAGILE
189.0,0.0,70.0,30.0,3.0,-0.010662412324876525,0.01729677098024078,0.096755550241716,-0.6110804938563011,-0.24788890807306616,2372,0.15926260573033052,0.3326306913996627,1.1027181306499745,5,-0.2176749517456285,20.0,0.001401203411192453,0.022199060203492663,FRAGILE
189.0,0.0,70.0,30.0,5.0,-0.010662412324876525,0.01729677098024078,0.096755550241716,-0.6110804938563011,-0.1567001603191738,1435,0.15926260573033052,0.35470383275261325,1.1296125529210033,5,-0.2176749517456285,20.0,0.001401203411192453,0.022199060203492663,FRAGILE
189.0,0.0,70.0,30.0,10.0,-0.010662412324876525,0.01729677098024078,0.096755550241716,-0.6110804938563011,-0.05560893609870929,708,0.15926260573033052,0.4152542372881356,1.0962878557821119,5,-0.2176749517456285,20.0,0.001401203411192453,0.022199060203492663,FRAGILE
189.0,0.0,80.0,10.0,3.0,-0.016542824780383936,0.016431819272717217,0.12998600212347977,-1.006924383465461,-0.2320430908243065,2302,0.15930077260273806,0.33492615117289315,1.1489430239146072,5,-0.9853841712133816,20.0,-0.010047084886918101,0.021710497573906026,FRAGILE
189.0,0.0,80.0,10.0,5.0,-0.016542824780383936,0.016431819272717217,0.12998600212347977,-1.006924383465461,nan,1321,0.15930077260273806,0.37395912187736563,1.1851680516826577,5,-0.9853841712133816,20.0,-0.010047084886918101,0.021710497573906026,FRAGILE
189.0,0.0,80.0,10.0,10.0,-0.016542824780383936,0.016431819272717217,0.12998600212347977,-1.006924383465461,-0.03260854619105567,645,0.15930077260273806,0.4418604651162791,1.087940312851818,5,-0.9853841712133816,20.0,-0.010047084886918101,0.021710497573906026,FRAGILE
