time,gross_exposure,net_exposure,n_positions,ret_gross_weighted,ret_net_weighted,turnover_weight_units,regime_on
2021-02-04,0.0,0.0,0,0.0,-0.0009935016989288893,0.9935016989288893,1.0
2021-02-05,0.9935016989288894,0.24343671569273984,28,0.007114359066939685,0.006120857368010796,0.9935016989288893,0.0
2021-02-06,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-02-07,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-02-08,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-02-09,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-02-10,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-02-11,0.0,0.0,0,0.0,-0.0009889491285655712,0.9889491285655712,1.0
2021-02-12,0.9889491285655713,0.2910589224138166,27,-0.0013578396711114698,-0.0015333722559367794,0.1755325848253097,1.0
2021-02-13,0.9763434905568968,0.2776574180643932,29,-0.00038278269404296017,-0.000394858190771715,0.012075496728754836,1.0
2021-02-14,0.9642726296680719,0.2767210132299074,29,0.002901773265662205,0.0028777383636460654,0.024034902016139694,1.0
2021-02-15,0.9616440345267692,0.27867308228139837,28,-0.00033263578531869773,-0.00043184130729948466,0.09920552198078693,1.0
2021-02-16,0.9597733375065508,0.27107445467101654,28,-0.0013366461281824442,-0.0014767598993578512,0.14011377117540702,1.0
2021-02-17,0.9694142777605618,0.2829091429160779,27,0.006555973935072362,0.006472390064705189,0.08358387036717307,1.0
2021-02-18,0.963615727459756,0.26186717320686104,28,-0.0010040090253428367,-0.001121186717073086,0.11717769173024933,1.0
2021-02-19,0.9658925476298542,0.258701283355263,28,0.013402000299489129,0.013303875729456358,0.09812457003277089,1.0
2021-02-20,0.973084879931158,0.25653378023878387,27,-4.8760692580840376e-05,-5.3710249325649345e-05,0.004949556744808971,1.0
2021-02-21,0.9681905717749626,0.25398304326655063,27,0.003666693918948586,0.003623833703421545,0.04286021552704115,1.0
2021-02-22,0.963185227841908,0.25689534638050887,28,-0.004151062978415274,-0.004254900636240732,0.10383765782545781,1.0
2021-02-23,0.9818224354126116,0.27544985177833375,28,-0.010066282116654486,-0.010169513975513335,0.1032318588588489,1.0
2021-02-24,0.9840089816907437,0.2557538847790128,27,0.00876784110378985,0.007783832122099106,0.9840089816907437,0.0
2021-02-25,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-02-26,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-02-27,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-02-28,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-03-02,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-03-03,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-03-04,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-03-05,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-03-06,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-03-07,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-03-08,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-03-09,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-03-10,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-03-11,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-03-12,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-03-13,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-03-14,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-03-15,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-03-16,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-03-17,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-03-18,0.0,0.0,0,0.0,-0.0011461961415688575,1.1461961415688575,1.0
2021-03-19,1.1461961415688577,0.23687562668476386,28,-0.0011700782623722226,-0.00135188214672927,0.18180388435704745,1.0
2021-03-20,1.144381870709889,0.21185254348972318,28,0.00019530599923118787,0.00019039282711359775,0.004913172117590127,1.0
2021-03-21,1.1395064049245547,0.20981894544879692,28,-0.0022635265939779845,-0.002352667166768778,0.08914057279079379,1.0
2021-03-22,1.1242556674446054,0.23423702564213644,28,-0.0054948532189797545,-0.005612478261593796,0.11762504261404094,1.0
2021-03-23,1.13754879830635,0.24228858856804675,28,-0.008920433207536336,-0.008981946821689946,0.06151361415361062,1.0
2021-03-24,1.1787259156415093,0.27455035529194766,28,-0.004506749976858956,-0.004623308189225234,0.11655821236627838,1.0
2021-03-25,1.1773450302788655,0.2502725679851807,29,0.0007041349924595789,0.0006189278812238128,0.08520711123576609,1.0
2021-03-26,1.177669476926297,0.24168759696331127,29,0.012201576723823446,0.012130671598296871,0.07090512552657452,1.0
2021-03-27,1.186664634542133,0.24944342140348852,29,0.001383893952531179,0.0013805962500829977,0.0032977024481812634,1.0
2021-03-28,1.1834186240674525,0.24890284064512697,29,-8.247499749118002e-05,-0.00011693101132882055,0.03445601383764053,1.0
2021-03-29,1.1489626102298116,0.23543946012694894,28,0.005657368791317868,0.005611323142214508,0.04604564910336032,1.0
2021-03-30,1.1486045574054586,0.2220385502767997,28,0.003131461115869018,0.0030597967329924693,0.0716643828765487,1.0
2021-03-31,1.136665200178085,0.2090526760503138,28,-0.00021816076234482248,-0.0003408116199393773,0.12265085759455482,1.0
2021-04-01,1.1390455679062317,0.21094456794118266,28,-0.00018959888294143375,-0.00025907744179736456,0.06947855885593078,1.0
2021-04-02,1.1479955827578163,0.20549440004138747,29,0.0004303702026547831,0.0002643344789817606,0.16603572367302255,1.0
2021-04-03,1.1538594028543754,0.20150150628802618,28,-0.0032851208530998766,-0.003297980748414455,0.012859895314578254,1.0
2021-04-04,1.1410626590088895,0.20276945076721947,28,0.003303188712537334,0.003300512161733955,0.002676550803379205,1.0
2021-04-05,1.1384976646574667,0.20355776831392425,28,0.0027401700732039846,0.0026650410288788207,0.07512904432516385,1.0
2021-04-06,1.1191694540966304,0.21864790987172247,27,-0.006134197617225646,-0.006203395621377478,0.06919800415183233,1.0
2021-04-07,1.1398916291095154,0.22131775008826426,27,-0.0071100836135763006,-0.007174965502821895,0.06488188924559507,1.0
