symbol,direction,entry_ts,exit_ts,entry_price,exit_price,holding_calendar_days,holding_trading_days,signal_strength_entry,rank_at_entry,gross_return,net_return_10bps_side,net_return_15bps_side,cost_roundtrip_bps,mfe,mae,time_to_mfe_trading_days,time_to_mae_trading_days,max_intradrawdown_from_peak,exit_reason,profitable_net,regime_off_days_during_trade,cadence_label
NZDUSD,LONG,2021-04-21,2021-07-05,0.72024,0.70502,75,64,0.03347,7,-0.021132,-0.023132,-0.024132,20.0,0.015745,-0.038918,31,51,-0.050372,rotated_out_top8,False,3,weekly
AUDCHF,LONG,2021-06-30,2021-07-05,0.693473,0.695337,5,4,0.02015,8,0.002688,0.000688,-0.000312,20.0,0.007315,-0.012461,3,3,-0.003359,rotated_out_top8,True,0,weekly
USDCHF,SHORT,2021-06-20,2021-07-15,0.92246,0.91783,25,22,-0.0241,7,0.005019,0.003019,0.002019,20.0,0.008727,-0.001171,19,11,-0.010038,rotated_out_top8,True,0,weekly
AUDUSD,LONG,2021-06-25,2021-07-15,0.75923,0.74222,20,17,0.04065,4,-0.022404,-0.024404,-0.025404,20.0,0.003108,-0.02413,1,13,-0.021298,rotated_out_top8,False,0,weekly
GBPUSD,LONG,2021-07-05,2021-07-15,1.38528,1.38276,10,9,0.03361,4,-0.001819,-0.003819,-0.004819,20.0,0.0041,-0.008042,7,4,-0.006851,rotated_out_top8,False,0,weekly
NZDCHF,LONG,2021-07-15,2021-07-20,0.64338,0.637639,5,4,0.02492,6,-0.008925,-0.010925,-0.011925,20.0,0.00577,-0.015222,1,4,-0.011276,rotated_out_top8,False,0,weekly
GBPCHF,LONG,2021-07-15,2021-08-04,1.269139,1.259121,20,17,0.02388,7,-0.007893,-0.009893,-0.010893,20.0,0.006704,-0.019155,1,5,-0.010616,rotated_out_top8,False,0,weekly
GBPUSD,LONG,2021-07-20,2021-08-04,1.36337,1.3889,15,13,0.01884,8,0.018726,0.016726,0.015726,20.0,0.025613,-0.004555,10,1,-0.005347,rotated_out_top8,True,0,weekly
CADCHF,LONG,2021-07-05,2021-08-09,0.747358,0.732318,35,30,0.02171,8,-0.020125,-0.022125,-0.023125,20.0,0.006189,-0.042715,2,13,-0.035813,rotated_out_top8,False,0,weekly
EURUSD,SHORT,2021-08-04,2021-08-09,1.18368,1.17357,5,4,-0.02054,8,0.008541,0.006541,0.005541,20.0,0.006581,0.0,4,0,0.0,rotated_out_top8,True,0,weekly
NZDCHF,SHORT,2021-08-09,2021-08-19,0.643727,0.626515,10,9,-0.02533,8,0.026738,0.024738,0.023738,20.0,0.007183,-0.000454,9,4,-0.007843,rotated_out_top8,True,0,weekly
USDCAD,SHORT,2020-11-27,2021-08-24,1.29881,1.25963,270,229,-0.04364,5,0.030166,0.028166,0.027166,20.0,0.070287,0.0,150,0,-0.060902,rotated_out_top8,True,12,weekly
